buyer,supplier,trans_id,amount,date
Buyers spending on Virgin,Virgin companies,1,19105688,2015-07-01
Buyers spending on Virgin,Virgin companies,2,14306415,2015-08-01
Buyers spending on Virgin,Virgin companies,3,10459639,2015-09-01
Buyers spending on Virgin,Virgin companies,4,9695507,2015-10-01
Buyers spending on Virgin,Virgin companies,5,10635139,2015-11-01
Buyers spending on Virgin,Virgin companies,6,9179223,2015-12-01
Buyers spending on Virgin,Virgin companies,7,8660776,2016-01-01
Buyers spending on Virgin,Virgin companies,8,8819999,2016-02-01
Buyers spending on Virgin,Virgin companies,9,10294061,2016-03-01
Buyers spending on Virgin,Virgin companies,10,13328679,2016-04-01
Buyers spending on Virgin,Virgin companies,11,14274483,2016-05-01
Buyers spending on Virgin,Virgin companies,12,13984491,2016-06-01
Buyers spending on Virgin,Virgin companies,13,10427400,2016-07-01
Buyers spending on Virgin,Virgin companies,14,9029673,2016-08-01
Buyers spending on Virgin,Virgin companies,15,8534518,2016-09-01
Buyers spending on Virgin,Virgin companies,16,9767736,2016-10-01
Buyers spending on Virgin,Virgin companies,17,9647339,2016-11-01
Buyers spending on Virgin,Virgin companies,18,9708693,2016-12-01
Buyers spending on Virgin,Virgin companies,19,9102853,2017-01-01
Buyers spending on Virgin,Virgin companies,20,8448264,2017-02-01
Buyers spending on Virgin,Virgin companies,21,8799405,2017-03-01
Buyers spending on Virgin,Virgin companies,22,10997346,2017-04-01
Buyers spending on Virgin,Virgin companies,23,17454067,2017-05-01
Buyers spending on Virgin,Virgin companies,24,18880405,2017-06-01
Buyers spending on Virgin,Virgin companies,25,21239541,2017-07-01
Buyers spending on Virgin,Virgin companies,26,16633550,2017-08-01
Buyers spending on Virgin,Virgin companies,27,17786932,2017-09-01
Buyers spending on Virgin,Virgin companies,28,15238358,2017-10-01
Buyers spending on Virgin,Virgin companies,29,14714481,2017-11-01
Buyers spending on Virgin,Virgin companies,30,14487609,2017-12-01
Buyers spending on Virgin,Virgin companies,31,12805214,2018-01-01
Buyers spending on Virgin,Virgin companies,32,13804619,2018-02-01
Buyers spending on Virgin,Virgin companies,33,14290310,2018-03-01
Buyers spending on Virgin,Virgin companies,34,17231735,2018-04-01
Buyers spending on Virgin,Virgin companies,35,16615681,2018-05-01
Buyers spending on Virgin,Virgin companies,36,13902321,2018-06-01
Buyers spending on Virgin,Virgin companies,37,13422747,2018-07-01
Buyers spending on Virgin,Virgin companies,38,15541262,2018-08-01
Buyers spending on Virgin,Virgin companies,39,15261478,2018-09-01
Buyers spending on Virgin,Virgin companies,40,15956019,2018-10-01
Buyers spending on Virgin,Virgin companies,41,16191166,2018-11-01
Buyers spending on Virgin,Virgin companies,42,17936481,2018-12-01
Buyers spending on Virgin,Virgin companies,43,21920942,2019-01-01
Buyers spending on Virgin,Virgin companies,44,17918791,2019-02-01
Buyers spending on Virgin,Virgin companies,45,24914338,2019-03-01
Buyers spending on Virgin,Virgin companies,46,22043831,2019-04-01
Buyers spending on Virgin,Virgin companies,47,27421995,2019-05-01
Buyers spending on Virgin,Virgin companies,48,21985382,2019-06-01
Buyers spending on Virgin,Virgin companies,49,21437516,2019-07-01
Buyers spending on Virgin,Virgin companies,50,20202516,2019-08-01
Buyers spending on Virgin,Virgin companies,51,17914366,2019-09-01
Buyers spending on Virgin,Virgin companies,52,15658336,2019-10-01
Buyers spending on Virgin,Virgin companies,53,11633835,2019-11-01
Buyers spending on Virgin,Virgin companies,54,7824485,2019-12-01
