trans_id,buyer_id,buyer,level1,level2,level3,supplier,supplier_id,proclass_code,proclass_title,proclass_level1,proclass_level2,proclass_level3,date,amount
NWR004_NR_gov_2017_06_2142,NWR004_NR_gov,NETWORK RAIL,Central Government,,,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-06-01,67575
E5035_CLBC_gov_2018_04_3624,E5035_CLBC_gov,CROYDON LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-04-01,2940.39
FTRLUX_BWNHSFT_gov_2017_06_74,FTRLUX_BWNHSFT_gov,BIRMINGHAM WOMEN`S NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-06-01,58000
FTRLUX_BWNHSFT_gov_2017_09_41,FTRLUX_BWNHSFT_gov,BIRMINGHAM WOMEN`S NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-09-01,33796.55
FTRLUX_BWNHSFT_gov_2017_12_82,FTRLUX_BWNHSFT_gov,BIRMINGHAM WOMEN`S NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,77400
FTRTEX_GHNHSFT_gov_2017_01_41,FTRTEX_GHNHSFT_gov,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-01-01,48000
NWR004_NR_gov_2017_05_899,NWR004_NR_gov,NETWORK RAIL,Central Government,,,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-05-01,30000
NWR004_NR_gov_2017_07_786,NWR004_NR_gov,NETWORK RAIL,Central Government,,,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-07-01,29150
CAB010_HOC_gov_2017_03_49,CAB010_HOC_gov,HOUSE OF COMMONS,Central Government,CABINET OFFICE,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-03-01,46086.48
NWR004_NR_gov_2017_08_867,NWR004_NR_gov,NETWORK RAIL,Central Government,,,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-08-01,27965.2
