ocid,releasedate,buyer_id,buyer,supplier,supplier_id,aw_total_suppliers,aw_value
ocds-0c46vo-0353-FEB186010,2017-02-09 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS (OPERATIONS) LIMITED,01996687,1,300000.0
ocds-0c46vo-0353-DEC229338,2017-12-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THALES UK LIMITED,00868273,1,191700.0
ocds-0c46vo-0353-FEB236452,2018-02-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ELBIT SYSTEMS OF AMERICA LLC,,1,451223.0
ocds-0c46vo-0353-FEB237139,2018-02-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LEONARDO MW LIMITED (LEONARDO AIRBORNE & SPACE SYSTEMS),,1,794000.0
ocds-0c46vo-0353-APR251144,2018-04-26 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,"MERIDIAN MEDICAL TECHNOLOGIES, INC",,1,1163200.0
ocds-0c46vo-0353-JUN256254,2018-06-19 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SIR JOSEPH ISHERWOODS LIMITED,,1,1344100.0
ocds-0c46vo-0353-JUL260977,2018-07-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NHS BLOOD AND TRANSPLANT,NBA033_NBAT_gov,1,1500000.0
ocds-0c46vo-0001-84031212-d0e3-4fd2-b0f8-c2e7fda4fe2f,2017-06-26 12:32:37+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,KUWAIT PETROLEUM,,1,0
ocds-0c46vo-0353-JUN299104,2019-06-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE HAGGLUNDS AB,,1,16000000.0
ocds-0c46vo-0353-JUN299103,2019-06-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LOCKHEED MARTIN UK LIMITED,02372738,1,8750000.0
ocds-0c46vo-0353-JUN298945,2019-06-20 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,TQ EDUCATION AND TRAINING LIMITED,00604934,1,3212010.0
ocds-0c46vo-0353-JUN298739,2019-06-18 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SERCO GROUP PLC,02048608,1,4320000.0
ocds-0c46vo-0353-JUN298459,2019-06-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,EGTON MEDICAL INFORMATION SYSTEMS LIMITED,02117205,1,4225000.0
ocds-0c46vo-0353-JUN254991,2018-06-11 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,HUTCHINSON SNC,,1,4087020.0
ocds-0c46vo-0353-JUL260083,2018-07-19 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ORGANISATION FOR JOINT ARMAMENT COOPERATION (OCCAR),,1,11500000000.0
ocds-0c46vo-0353-DEC276445,2018-12-05 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ANATUNE LTD,,1,331873.0
ocds-0c46vo-0353-MAR286307,2019-03-04 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LEONARDO MW LTD,02426132,1,3600000.0
ocds-0c46vo-0353-MAY295208,2019-05-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DEVONPORT ROYAL DOCKYARD LTD,,1,115000000.0
