ocid,releasedate,buyer_id,buyer,supplier,supplier_id,aw_total_suppliers
ocds-0c46vo-0001-07043c2c-5f6f-4b30-97d3-ac9480f32641,2018-10-05 12:01:41+00,BYA010_CCS_gov,CROWN COMMERCIAL SERVICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-MAY198410,2017-05-11 00:00:00+00,BYA010_CCS_gov,CROWN COMMERCIAL SERVICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-OCT220754,2017-10-31 00:00:00+00,BYA010_CCS_gov,CROWN COMMERCIAL SERVICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-246573b9-379c-4d42-ad9b-cea64ee75b23,2018-11-13 15:37:47+00,E1721_HCC_gov,HAMPSHIRE COUNTY COUNCIL,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-1f30ac84-ca90-42e9-a354-9a3f44dfe912,2018-11-23 12:18:55+00,HOF034_HO_gov,HOME OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-29596d56-2604-4e6b-9c27-54ee30b628e2,2018-12-18 11:46:25+00,,CABINET OFFICE : CABINET OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-FEB310255,2018-02-15 00:00:00+00,,THE COMMON SERVICES AGENCY (MORE COMMONLY KNOWN AS NHS NATIONAL SERVICES SCOTLAND) ("NSS"),DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-MAR287523,2019-03-13 00:00:00+00,,NETWORK HOMES LIMITED,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-MAR286350,2019-03-04 00:00:00+00,,UNIVERSITY OF LEEDS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0133-336805-2018,2018-08-02 00:00:00+00,,BRITISH BROADCASTING CORPORATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0133-266497-2018,2018-06-21 00:00:00+00,HCA085_HE_gov,HOMES ENGLAND,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-889ec892-1bab-44d6-a0af-7f82c200d13d,2019-03-05 16:10:31+00,SLC084_SLCL_gov,STUDENT LOANS COMPANY LIMITED,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-DEC340235,2018-12-18 00:00:00+00,SEN075_SE_gov,SCOTTISH ENTERPRISE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SAQMMA09L0809,2019-11-17 17:47:27.890064+00,,DEPARTMENT OF STATE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-JUL324641,2018-07-10 00:00:00+00,,SCOTTISH FUTURES TRUST LIMITED,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-434f3e73-a879-478e-9740-f960b0ec21d9,2019-04-11 18:36:14+00,HCA085_HE_gov,HOMES ENGLAND,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-6b8e3a2f-344d-4035-829c-17440e3803ef,2019-04-26 12:22:11+00,,MINISTRY OF DEFENCE : MINISTRY OF DEFENCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-MAR347552,2019-03-07 00:00:00+00,,UNIVERSITY OF EDINBURGH,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-834fa732-b6c0-44b8-822d-140ba508d5c1,2019-05-09 14:19:02+00,,COLLEGE OF POLICING : HOME OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-764cce19-55b2-4d07-be1c-5dd948af0af7,2019-03-28 08:47:43+00,,MINISTRY OF DEFENCE : MINISTRY OF DEFENCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0353-DEC338954,2018-12-05 00:00:00+00,,SCOTTISH FUTURES TRUST LIMITED,DELOITTE LLP,OC303675,1
ocds-0c46vo-0133-124549-2017,2017-04-04 00:00:00+00,ACW090_ACOW_gov,ARTS COUNCIL OF WALES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0133-457412-2017,2017-11-16 00:00:00+00,,THE POLICE AND CRIME COMMISSIONER FOR WEST YORKSHIRE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0133-204180-2018,2018-05-12 00:00:00+00,,SELLAFIELD LIMITED,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SAQMMA08L1926,2019-11-17 12:10:45.306536+00,,DEPARTMENT OF STATE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-6fe6c5a5-ffb9-4e07-b7b0-9705511b48e2,2017-01-27 12:03:58+00,E5104_TFL_gov,TRANSPORT FOR LONDON,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-89303019FLM000009,2019-11-16 12:05:58.506669+00,DEC066_DOEACC_gov,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-d85bc16e-739c-4191-80ba-60fbee8d56ae,2019-03-04 09:24:08+00,DES022_DFE_gov,DEPARTMENT FOR EDUCATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-FA862207F8002,2019-11-17 05:31:09.65889+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
