ocid,value,releasedate,buyer,buyer_id
ocds-0c46vo-0291-1186efa597d6d26fa14d8292184b5fc6,,2018-10-04 22:04:42.188036+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-d04749635e176cb0cf37347fde157928,,2018-10-03 22:11:24.270039+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-d7ae31601ddfc38aaaa0b8cb2ff67ebf,,2018-10-03 22:11:24.252468+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-c001122b78303a33c9674f8fe7422b93,,2018-06-12 22:01:20.104355+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-fdd5b65fbf8e227300d73a3518d1d580,,2018-05-25 22:01:52.385338+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0291-1bf8b9f2dc7171e05d9869439b7b4e47,,2018-05-17 12:05:45.526086+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-c65c5061-7a9e-4d9e-95b4-bc52e61ea817,0,2019-11-11 15:24:14+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-318a287f-5ed3-446b-80ff-787164f00095,0,2019-09-26 09:40:58+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-191041f3-0e2c-4c3a-a638-f9b5135b1b3e,0,2019-11-11 14:41:29+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-9497,,2019-04-24 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-8749,,2019-01-30 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,0,2019-06-03 11:40:16+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-7067,,2018-06-18 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-a6d9a5b6-0c00-42c1-bee0-d5684eb441f6,0,2019-11-11 15:07:52+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-10373,,2019-08-14 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-9657,,2019-05-13 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0005-40749,,2018-12-24 22:13:45.541018+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5951,,2017-12-18 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5675,,2017-11-10 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5564,,2017-11-02 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-5764,,2017-11-22 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-0bf6286d-8367-4b12-a974-97004bedc5cd,0,2019-11-11 15:16:30+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0001-e9bd69e1-fe57-4bda-93a2-671e7016289c,0,2019-11-11 14:54:29+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-10619,,2019-09-19 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
ocds-0c46vo-0070-7480,,2018-08-06 00:00:00+00,CABINET OFFICE,CAB010_CO_gov
